state,crop_year,season,crop,yield_kg_ha
Haryana,2005,Kharif,Arhar/Tur,811.5209365749826
Arunachal Pradesh,2010,Whole Year,Sugarcane,19213.527851458886
Chhattisgarh,2019,Kharif,Sesamum,402.01979668271804
Chhattisgarh,2024,Rabi,Barley,936.6671906362603
Telangana,2013,Kharif,Dry chillies,3162.768031189084
Haryana,2019,Kharif,Castor seed,666.2677636499626
Puducherry,2026,Kharif,Cotton(lint),10.012322858903266
Himachal Pradesh,2013,Rabi,Linseed,251.14995400183992
Tripura,2004,Rabi,Masoor,509.478672985782
Delhi,2012,Kharif,Rice,3257.745550428477
Punjab,2003,Rabi,Sunflower,1700.0
Jammu and Kashmir,2021,Rabi,Peas & beans (Pulses),2219.1659623917176
Madhya Pradesh,2006,Kharif,Rice,829.9033520050323
Tripura,2024,Rabi,Masoor,782.0591712703363
Punjab,2006,Kharif,Groundnut,863.6363636363636
Arunachal Pradesh,2002,Whole Year,Oilseeds total,1046.5712079736086
Punjab,2008,Kharif,Moong(Green Gram),887.6404494382023
Himachal Pradesh,2002,Whole Year,Coriander,319.3916349809886
Puducherry,2002,Kharif,Rice,2382.321265843758
Assam,2024,Rabi,Urad,718.5547985460818
Manipur,2018,Kharif,Soyabean,900.2854812398042
Assam,2013,Rabi,Moong(Green Gram),640.7583716349311
Bihar,2005,Kharif,Horse-gram,860.0987738419618
Tripura,2016,Kharif,Sesamum,586.046511627907
Rajasthan,2019,Kharif,Cotton(lint),571.3798158739717
Kerala,2026,Whole Year,Wheat,2632.478632478633
Jammu and Kashmir,2011,Rabi,Wheat,1700.521243587197
Manipur,2005,Rabi,Rapeseed &Mustard,480.0
Puducherry,2003,Rabi,Other  Rabi pulses,978.7234042553191
Meghalaya,2022,Rabi,Peas & beans (Pulses),2215.983415559162
Jharkhand,2010,Rabi,Potato,5789.855072463768
Bihar,2004,Kharif,Maize,1637.871669871168
Uttar Pradesh,2016,Rabi,Lentil,1034.7298824383547
Odisha,2026,Autumn,Sesamum,401.6841210062897
Haryana,2025,Kharif,Jowar,808.0809994904185
Puducherry,2026,Kharif,Other Cereals,926.6401173758122
Tamil Nadu,2018,Whole Year,Black pepper,211.09316101238556
Maharashtra,2004,Rabi,Gram,561.7544282443667
Chhattisgarh,2001,Rabi,Other  Rabi pulses,347.65625
Goa,2011,Kharif,Groundnut,2862.7450980392155
Assam,2025,Rabi,Peas & beans (Pulses),930.7566447769692
Bihar,2025,Kharif,Arhar/Tur,2266.893509065798
Chhattisgarh,2025,Whole Year,Dry chillies,628.267765311083
West Bengal,2006,Rabi,Peas & beans (Pulses),675.1500600240096
Assam,2014,Rabi,Peas & beans (Pulses),924.0117521367522
Madhya Pradesh,2020,Kharif,Soyabean,1572.869916421483
Jammu and Kashmir,2004,Kharif,Jowar,599.9665383971892
Goa,2026,Whole Year,Arecanut,2044.2297562472145
Himachal Pradesh,2025,Kharif,Turmeric,669.5143884892086
Tripura,2012,Kharif,Other Kharif pulses,656.1203319502075
Assam,2018,Kharif,Castor seed,464.08839779005524
West Bengal,2013,Autumn,Rice,2350.3161362813994
Uttar Pradesh,2021,Rabi,Turmeric,1844.7551027316115
Sikkim,2026,Kharif,Small millets,1055.7178680890022
Puducherry,2001,Whole Year,Banana,33160.0
Bihar,2007,Whole Year,Garlic,1444.8441247002397
Kerala,2019,Autumn,Rice,2595.5094373378656
Meghalaya,2013,Whole Year,Arecanut,1505.8160450893392
Uttarakhand,2003,Kharif,Groundnut,995.2867242733699
Punjab,2021,Kharif,Maize,4120.613383677509
Odisha,2013,Autumn,Moong(Green Gram),320.1988812927284
Jammu and Kashmir,2023,Kharif,Cowpea(Lobia),307.17413270461435
Nagaland,2017,Rabi,Masoor,822.4299065420561
Delhi,2010,Kharif,Bajra,1878.5107772697584
Jharkhand,2018,Rabi,Potato,24452.707123217795
Bihar,2019,Kharif,Jute,10532.134738582352
Uttar Pradesh,2025,Kharif,Groundnut,1072.4288081447758
Maharashtra,2008,Kharif,Jowar,1162.2801841142452
Punjab,2025,Kharif,Groundnut,2729.7619500564374
Gujarat,2006,Rabi,Rapeseed &Mustard,1368.890166762507
Karnataka,2018,Kharif,Cotton(lint),1958.7268990963455
Arunachal Pradesh,2026,Rabi,Rapeseed &Mustard,1198.1613947512503
Chhattisgarh,2010,Whole Year,Sugarcane,2447.7453580901856
Uttarakhand,2000,Kharif,Small millets,1098.6824121152479
Tripura,2008,Kharif,Cotton(lint),1469.5562435500517
Assam,2004,Rabi,Peas & beans (Pulses),599.82912132386
Karnataka,2014,Kharif,Soyabean,739.9330040933247
Bihar,2012,Kharif,Jowar,1071.455720258457
Bihar,2018,Rabi,Sunflower,1416.9403393541324
Uttar Pradesh,2017,Rabi,Gram,1155.339262963244
Andhra Pradesh,2004,Rabi,Safflower,436.0498763613406
Bihar,2005,Autumn,Rice,944.1426168297911
Andhra Pradesh,2008,Whole Year,Ginger,5325.432999088423
Meghalaya,2026,Kharif,Arhar/Tur,1308.3362210863727
Puducherry,2024,Kharif,Banana,17550.87664370695
Rajasthan,2010,Kharif,Sesamum,620.9075265870887
Kerala,2009,Kharif,Cotton(lint),1300.5893909626718
Bihar,2012,Rabi,Sunflower,1410.4922608475006
Maharashtra,2014,Kharif,Soyabean,500.41206527113894
Meghalaya,2019,Rabi,Masoor,1111.111111111111
Madhya Pradesh,2023,Rabi,Masoor,1110.638239117977
Tamil Nadu,2008,Whole Year,Black pepper,229.3401665598975
Tripura,2019,Rabi,other oilseeds,795.6989247311828
Puducherry,2000,Kharif,Groundnut,1836.595744680851
Himachal Pradesh,2009,Kharif,Soyabean,781.8181818181819
Gujarat,2024,Kharif,Arhar/Tur,1361.5833841401854
Chhattisgarh,2000,Kharif,Horse-gram,296.42016397434855
Kerala,2023,Whole Year,Tapioca,44315.45192052277
Andhra Pradesh,2008,Kharif,Sesamum,209.248278708108
Bihar,2021,Rabi,Other  Rabi pulses,1029.4794598938806
Maharashtra,2010,Whole Year,Mango,6724.6767606077865
Haryana,2019,Whole Year,Garlic,13443.798449612403
Jammu and Kashmir,2025,Kharif,Rice,2060.2024093654245
West Bengal,2016,Autumn,Ragi,1108.320726172466
Jammu and Kashmir,2022,Kharif,Ragi,576.6829574702782
Punjab,2018,Kharif,Bajra,636.3636363636364
Nagaland,2012,Kharif,Rice,2203.9715207475806
Maharashtra,2015,Kharif,Bajra,415.81314014489135
Odisha,2001,Kharif,Bajra,566.0847880299252
Himachal Pradesh,2009,Kharif,Sesamum,84.02452217814641
Jharkhand,2008,Rabi,Potato,6710.3767059420825
Karnataka,2003,Kharif,Maize,1954.2018454905729
Chhattisgarh,2012,Rabi,Other  Rabi pulses,159.7081475476287
Haryana,2014,Whole Year,Onion,22316.473786949246
Himachal Pradesh,2023,Kharif,Tobacco,1266.2116040955632
Jammu and Kashmir,2018,Rabi,Linseed,1119.205298013245
Meghalaya,2016,Kharif,Arhar/Tur,1293.2651321398125
Haryana,2023,Kharif,Urad,846.9571136827774
Gujarat,2013,Kharif,Maize,1266.498566647155
Kerala,2024,Whole Year,Tapioca,41940.74147069
Bihar,2015,Kharif,Groundnut,1018.2926829268292
Uttar Pradesh,2014,Kharif,Rice,2266.595732407354
Himachal Pradesh,2006,Rabi,Linseed,243.8858695652174
Maharashtra,2026,Kharif,Moong(Green Gram),318.7830218531226
Maharashtra,2004,Kharif,Castor seed,284.5528455284553
Madhya Pradesh,2010,Whole Year,Potato,8570.997097356241
Nagaland,2007,Rabi,Linseed,766.6666666666666
West Bengal,2002,Kharif,Jute,13372.074596032488
Kerala,2026,Whole Year,Turmeric,2963.242943807169
Madhya Pradesh,2019,Whole Year,Garlic,10175.781062888267
Uttar Pradesh,2003,Kharif,Rice,2181.305795015431
Maharashtra,2000,Kharif,Sesamum,215.12158054711247
Gujarat,2004,Whole Year,Potato,27643.76590330789
Jharkhand,2006,Rabi,Gram,734.2928468136471
Himachal Pradesh,2021,Kharif,Sesamum,452.3636394029052
Uttarakhand,2004,Kharif,Other Cereals,1165.1073125156265
Jammu and Kashmir,2009,Kharif,Sugarcane,2000.0
Meghalaya,2023,Rabi,Other  Rabi pulses,784.9341321311098
Odisha,2026,Winter,Sugarcane,67564.49959126067
Maharashtra,2003,Kharif,Turmeric,4845.1920389229335
Meghalaya,2001,Whole Year,Tobacco,659.3406593406594
Himachal Pradesh,2019,Rabi,Garlic,653.0560486938879
Uttarakhand,2020,Kharif,Other Cereals,561.7977528089888
Maharashtra,2007,Kharif,Turmeric,5133.6253152696745
Madhya Pradesh,2017,Rabi,Mustard,1543.8538718859857
Uttarakhand,2013,Kharif,Moth,407.4074074074074
Gujarat,2008,Rabi,Rapeseed &Mustard,1137.4617216740387
Madhya Pradesh,2017,Rabi,Masoor,1139.5446385127766
Punjab,2021,Rabi,Potato,24325.05119548125
Kerala,2023,Whole Year,Small millets,756.4802182810369
Maharashtra,2018,Kharif,Other Kharif pulses,471.9586541987532
Chhattisgarh,2003,Whole Year,Garlic,2830.769230769231
Nagaland,2022,Kharif,Other Kharif pulses,1276.9225435129324
Jammu and Kashmir,2019,Rabi,Garlic,808.1570996978852
Meghalaya,2015,Rabi,Castor seed,902.7777777777778
Odisha,2024,Whole Year,Dry chillies,1128.9364891047048
Chhattisgarh,2023,Rabi,Gram,976.4094206697523
West Bengal,2010,Kharif,Niger seed,680.9369951534734
Punjab,2005,Rabi,Barley,3315.7894736842104
Tamil Nadu,2017,Autumn,Rice,3853.7586873817772
Tamil Nadu,2004,Kharif,Urad,366.65724231768303
Meghalaya,2007,Kharif,Maize,1474.5424683247302
Assam,2003,Whole Year,Tapioca,4738.2526975287155
Tripura,2009,Kharif,Rice,2606.5619170963355
Assam,2026,Rabi,Other  Rabi pulses,695.5233531246146
Manipur,2002,Kharif,Other Kharif pulses,507.8125
Kerala,2023,Whole Year,Wheat,2267.8571428571427
Maharashtra,2012,Rabi,Linseed,279.04411764705884
Jharkhand,2003,Rabi,Gram,848.685039666227
Manipur,2000,Whole Year,Onion,2114.285714285714
Maharashtra,2007,Rabi,Other  Rabi pulses,494.37412095639945
Uttarakhand,2015,Kharif,Moong(Green Gram),666.6666666666666
Bihar,2002,Whole Year,Potato,9989.257132033095
Jammu and Kashmir,2026,Kharif,Cotton(lint),571.0144927536231
Uttar Pradesh,2005,Kharif,Arhar/Tur,922.4001574475654
Karnataka,2023,Kharif,Maize,3556.5082699585387
Andhra Pradesh,2000,Kharif,Niger seed,325.2221981357034
Andhra Pradesh,2004,Kharif,Dry chillies,3221.4162905652265
Puducherry,2024,Kharif,Sesamum,1008.5561497326203
Himachal Pradesh,2006,Kharif,Rice,1559.035931621342
Delhi,2000,Kharif,Maize,1636.3636363636363
Chhattisgarh,2023,Rabi,Other  Rabi pulses,243.9035339750036
Nagaland,2010,Kharif,Moong(Green Gram),950.0
West Bengal,2007,Kharif,Bajra,359.375
Rajasthan,2025,Rabi,Gram,1222.6188650394274
Odisha,2006,Autumn,Sesamum,184.33734939759037
Nagaland,2008,Kharif,Arhar/Tur,958.8607594936709
Meghalaya,2002,Kharif,Cotton(lint),1070.998632010944
Karnataka,2005,Whole Year,Coriander,152.57011895667358
Karnataka,2005,Whole Year,Arecanut,6414.220203411707
Punjab,2025,Rabi,Potato,26272.27675545218
Odisha,2000,Rabi,Rapeseed &Mustard,133.03751512706737
Chhattisgarh,2012,Rabi,Peas & beans (Pulses),375.4573393824089
Karnataka,2004,Rabi,Safflower,517.014293276866
Karnataka,2010,Whole Year,Mesta,1261.143156790771
West Bengal,2011,Kharif,Bajra,372.8813559322034
Tripura,2018,Kharif,Mesta,8352.941176470587
Madhya Pradesh,2010,Rabi,Wheat,1989.9702684473223
Chhattisgarh,2008,Whole Year,Dry chillies,530.5172127058041
Arunachal Pradesh,2023,Kharif,Small millets,936.8575363578659
Madhya Pradesh,2003,Rabi,Rapeseed &Mustard,1083.0003361093475
Maharashtra,2013,Rabi,Linseed,268.59504132231405
Assam,2022,Kharif,Sesamum,766.5958251605633
Madhya Pradesh,2005,Kharif,Small millets,378.32340977421444
Rajasthan,2011,Kharif,Cotton(lint),529.6363120590341
Nagaland,2010,Rabi,Rapeseed &Mustard,1001.1090573012939
Maharashtra,2023,Kharif,Other Kharif pulses,398.2810893372983
Uttar Pradesh,2024,Kharif,Sugarcane,62969.16365922708
Gujarat,2015,Rabi,Wheat,2700.0813808155804
Gujarat,2011,Kharif,Moong(Green Gram),438.5
Uttar Pradesh,2014,Rabi,Gram,317.2203489434588
Uttarakhand,2006,Whole Year,Sugarcane,61136.528447282304
Haryana,2016,Kharif,Moth,166.66666666666666
Maharashtra,2023,Kharif,Ragi,1054.4161015552243
Goa,2001,Whole Year,Cashewnut,425.0092489826119
Gujarat,2023,Whole Year,Guar seed,997.7281964363456
Mizoram,2002,Kharif,Moong(Green Gram),692.3076923076923
Meghalaya,2018,Kharif,Cotton(lint),1217.6308539944903
Punjab,2024,Rabi,Wheat,4712.250335828154
Mizoram,2016,Kharif,Soyabean,1574.0922473012758
Odisha,2023,Autumn,Maize,2513.4985487127715
Chhattisgarh,2009,Whole Year,Tobacco,500.0
Himachal Pradesh,2014,Rabi,Rapeseed &Mustard,547.5307210758173
Nagaland,2018,Kharif,Sesamum,610.8108108108108
Goa,2003,Whole Year,Sugarcane,47609.09090909091
Karnataka,2003,Whole Year,Cardamom,56.776180698151954
Chhattisgarh,2014,Kharif,Sunflower,347.20776968435655
Bihar,2008,Whole Year,Turmeric,1159.7701149425288
Manipur,2011,Whole Year,Potato,8472.222222222223
West Bengal,2021,Kharif,Castor seed,372.3165652034604
Nagaland,2026,Kharif,Sugarcane,45998.40579218561
Maharashtra,2008,Kharif,Maize,2405.0172695873475
Tripura,2007,Whole Year,Sugarcane,48673.61835245047
Andhra Pradesh,2025,Kharif,Oilseeds total,4933.439230544556
Tamil Nadu,2018,Whole Year,Ginger,19265.25198938992
Gujarat,2008,Rabi,Wheat,2375.4810335349093
Uttarakhand,2008,Kharif,Sesamum,214.54219030520647
Kerala,2015,Whole Year,Small millets,714.2857142857143
Bihar,2016,Kharif,Mesta,2368.8047540280586
Karnataka,2016,Whole Year,Banana,32827.31729739597
Uttar Pradesh,2018,Rabi,Onion,15478.57967275443
Himachal Pradesh,2001,Rabi,Gram,877.6223776223776
Meghalaya,2022,Whole Year,Sugarcane,2954.121732772802
Meghalaya,2009,Rabi,Gram,625.6684491978609
Gujarat,2018,Kharif,Rice,2247.7565801422593
Mizoram,2026,Kharif,Soyabean,1432.3182767051408
Mizoram,2007,Kharif,other oilseeds,206.59211300765156
Tamil Nadu,2000,Kharif,Ragi,1714.2069951073004
Meghalaya,2009,Whole Year,Potato,9171.465672990063
Himachal Pradesh,2024,Kharif,Other Kharif pulses,952.1842874622166
Jammu and Kashmir,2001,Kharif,Cotton(lint),492.7536231884058
Punjab,2005,Whole Year,Guar seed,744.7698744769874
Nagaland,2016,Rabi,Rapeseed &Mustard,1013.1386861313869
Jammu and Kashmir,2023,Kharif,Small millets,488.54420518556987
Karnataka,2002,Whole Year,Cardamom,56.84102035557846
Tripura,2017,Kharif,Sesamum,590.0497512437811
West Bengal,2022,Rabi,Peas & beans (Pulses),1150.3414906952362
Uttar Pradesh,2014,Kharif,Sesamum,197.01071804720897
Madhya Pradesh,2021,Whole Year,Coriander,1993.3409171663948
Maharashtra,2021,Kharif,Turmeric,6920.419450984759
Assam,2009,Whole Year,Sweet potato,3521.745518660006
Bihar,2024,Kharif,Other Kharif pulses,928.2524364096059
Karnataka,2015,Whole Year,Tomato,22126.77934557927
Andhra Pradesh,2010,Rabi,Safflower,679.6791443850267
Uttar Pradesh,2005,Kharif,Sugarcane,58201.31496977212
Tripura,2023,Kharif,Jute,9010.324729392174
Rajasthan,2005,Kharif,Sesamum,455.72035075516084
Odisha,2021,Rabi,Mustard,1787.3035304880584
Manipur,2022,Kharif,Moong(Green Gram),1208.8702229649502
Bihar,2019,Autumn,Maize,2077.704042387498
West Bengal,2004,Kharif,Ginger,2058.1917808219177
Jharkhand,2007,Rabi,Arhar/Tur,1458.0342347684316
Haryana,2023,Rabi,Barley,4179.114221221229
Haryana,2025,Kharif,Sunflower,3358.153481224108
Nagaland,2007,Kharif,Jowar,1312.5
Assam,2014,Rabi,Urad,648.0598144993374
Maharashtra,2018,Kharif,Urad,421.3505212566896
Haryana,2018,Rabi,Wheat,4924.601464885825
Chhattisgarh,2009,Kharif,Sesamum,441.15096168562826
Uttar Pradesh,2008,Kharif,Maize,1495.5254204701785
Andhra Pradesh,2025,Kharif,Cowpea(Lobia),412.48484475490045
Puducherry,2000,Rabi,Other  Rabi pulses,1953.125
Meghalaya,2025,Whole Year,Coriander,2596.4480201406564
Tamil Nadu,2006,Whole Year,Sweet potato,16799.46761313221
Tamil Nadu,2016,Whole Year,Tapioca,26337.948181104424
Gujarat,2007,Whole Year,Sugarcane,71990.52132701421
Haryana,2007,Whole Year,Potato,17908.641726328526
Tripura,2026,Rabi,Peas & beans (Pulses),1040.5510996713626
Manipur,2021,Kharif,Sesamum,244.68361959997023
Gujarat,2011,Whole Year,Guar seed,580.6703039750585
Meghalaya,2008,Whole Year,Tobacco,656.6265060240963
Puducherry,2018,Summer,Other Summer Pulses,1000.0
Rajasthan,2015,Rabi,Barley,2823.8901094663606
Puducherry,2026,Kharif,Ginger,863.5936959636382
Andhra Pradesh,2014,Kharif,Arecanut,699.7929606625258
West Bengal,2014,Rabi,Masoor,962.7720851270236
Kerala,2006,Whole Year,Rubber,1352.2971317956722
Puducherry,2011,Kharif,Groundnut,1875.0
Maharashtra,2020,Kharif,Bajra,1918.6621241918594
Bihar,2025,Whole Year,Sugarcane,78046.95358484639
Meghalaya,2016,Rabi,Cowpea(Lobia),1512.3419626730886
Telangana,2020,Kharif,Rice,3739.4212471444935
Sikkim,2000,Kharif,Rice,1403.4695755026942
West Bengal,2003,Rabi,Onion,15648.008933568892
Delhi,2000,Kharif,Cotton(lint),1000.0
Bihar,2017,Kharif,Urad,890.3331650681474
Kerala,2025,Whole Year,Tapioca,49981.49041432655
Odisha,2026,Whole Year,Garlic,4131.8141783632855
Rajasthan,2022,Rabi,Mustard,1747.8901047297543
Punjab,2004,Kharif,Urad,529.4117647058823
Jharkhand,2019,Rabi,Onion,19151.578467923002
Bihar,2017,Rabi,Potato,14297.300370715731
Haryana,2026,Rabi,Wheat,5192.321541968946
Odisha,2005,Autumn,Moong(Green Gram),216.51796839954145
Punjab,2002,Rabi,Masoor,675.0
Puducherry,2005,Whole Year,Dry chillies,2125.0
Tamil Nadu,2013,Whole Year,Cardamom,90.50445103857567
Jharkhand,2005,Rabi,Rapeseed &Mustard,677.5721611012134
Madhya Pradesh,2011,Rabi,Masoor,367.1996587030717
Maharashtra,2007,Rabi,Onion,17833.018770047915
Madhya Pradesh,2007,Whole Year,Sweet potato,5479.744136460555
Rajasthan,2020,Rabi,Mustard,1689.8738905815705
Tamil Nadu,2014,Kharif,Rice,4428.677915376735
Uttar Pradesh,2000,Kharif,Maize,1622.4993859638496
Gujarat,2002,Whole Year,Guar seed,310.1336302895323
Himachal Pradesh,2004,Kharif,Rice,1372.3638375734101
Punjab,2009,Kharif,Jowar,1000.0
Andhra Pradesh,2022,Kharif,Urad,1092.7705152018134
West Bengal,2013,Kharif,Mesta,13107.426270283075
Bihar,2002,Kharif,Ragi,687.9439478134815
Gujarat,2008,Whole Year,Sugarcane,70094.89380930863
Bihar,2023,Kharif,Jowar,1194.4637883008356
Assam,2024,Whole Year,Sweet potato,5456.584201629337
Jammu and Kashmir,2016,Rabi,other oilseeds,776.3371150729336
Gujarat,2000,Kharif,Bajra,650.2596789423985
Rajasthan,2013,Kharif,Groundnut,1727.5931202665706
Meghalaya,2001,Kharif,Small millets,791.1764705882352
Andhra Pradesh,2026,Kharif,Niger seed,430.7935928141227
Mizoram,2016,Rabi,Other  Rabi pulses,1613.8044371405094
Assam,2017,Whole Year,Dry chillies,938.3460132397985
Gujarat,2025,Kharif,Other Cereals,1108.4872146882685
Rajasthan,2004,Rabi,Barley,2485.9681054478315
Telangana,2005,Kharif,Cotton(lint),445.38083440505017
Chhattisgarh,2023,Whole Year,Tobacco,698.5381272224417
Karnataka,2009,Kharif,Other Kharif pulses,721.4217519641934
Punjab,2014,Kharif,Urad,550.0
Uttarakhand,2000,Whole Year,Garlic,7892.3375363724535
Uttar Pradesh,2019,Rabi,Masoor,978.1860872642833
Karnataka,2018,Kharif,Sunflower,851.9834035330358
Uttar Pradesh,2007,Rabi,Turmeric,3069.4444444444443
Andhra Pradesh,2026,Kharif,Moong(Green Gram),860.2857698747804
Tamil Nadu,2003,Whole Year,Garlic,5732.773109243697
Odisha,2006,Rabi,Mustard,1344.7696664490877
Uttar Pradesh,2000,Kharif,Cotton(lint),893.2057057057057
Jharkhand,2019,Kharif,Jowar,752.2271714922049
Manipur,2013,Rabi,Peas & beans (Pulses),917.1840354767183
Andhra Pradesh,2024,Kharif,Arhar/Tur,536.3475156401662
Andhra Pradesh,2000,Whole Year,Tapioca,7724.54198828234
Jharkhand,2004,Autumn,Ragi,821.4498800516446
West Bengal,2000,Whole Year,Dry chillies,893.8664672021854
Chhattisgarh,2013,Kharif,Mesta,1826.047358834244
Meghalaya,2000,Whole Year,Potato,7877.060814499399
Odisha,2003,Kharif,Ginger,1939.2764857881136
Haryana,2022,Whole Year,Ginger,13324.2257832193
Kerala,2023,Kharif,Jowar,983.673964829229
Uttar Pradesh,2007,Rabi,Rapeseed &Mustard,1157.507359374975
Haryana,2010,Whole Year,Sugarcane,7146.491238449069
Telangana,2014,Kharif,Bajra,937.2151898734177
Bihar,2024,Rabi,Khesari,811.2456499846876
Tamil Nadu,2009,Whole Year,Arecanut,1912.9398826979473
Maharashtra,2016,Whole Year,Mango,7343.749770203656
Nagaland,2002,Kharif,Peas & beans (Pulses),1136.3636363636363
West Bengal,2017,Whole Year,Sugarcane,90674.37369519833
Chhattisgarh,2026,Whole Year,Dry chillies,777.1609091925847
Karnataka,2007,Kharif,Moong(Green Gram),224.74309970612526
Uttar Pradesh,2013,Rabi,Lentil,782.5206049435908
Tripura,2005,Kharif,Moong(Green Gram),537.9023883696781
Nagaland,2023,Kharif,Peas & beans (Pulses),1286.312431684847
Puducherry,2008,Kharif,Sugarcane,83456.55526992287
Chhattisgarh,2026,Rabi,Safflower,404.86812358703844
Nagaland,2019,Kharif,Other Cereals,1039.0625
Delhi,2003,Kharif,Arhar/Tur,1410.44776119403
Haryana,2016,Rabi,other oilseeds,1153.8461538461538
Jammu and Kashmir,2023,Rabi,Linseed,806.5368642468044
Himachal Pradesh,2024,Kharif,Potato,7248.2465986091565
Karnataka,2019,Whole Year,Garlic,5123.681125439625
Meghalaya,2009,Rabi,Other  Rabi pulses,710.2803738317757
Puducherry,2008,Kharif,Other Kharif pulses,1000.0
Arunachal Pradesh,2003,Whole Year,Oilseeds total,1016.2003996574365
Andhra Pradesh,2004,Whole Year,Cashewnut,223.28269660529958
Uttarakhand,2022,Rabi,Wheat,2621.563096829375
Jharkhand,2024,Rabi,Wheat,2090.6560964541573
Puducherry,2022,Kharif,Cashewnut,211.4672155248456
