Unnamed: 0, Area , Item          , Year, hg/ha_yield, average_rain_fall_mm_per_year, pesticides_tonnes, avg_temp, kg_per_ha_yield
     10547, India, Potatoes      , 1990,      157136,                        1083.0,          75000.0 ,    26.88,         15713.6
     10548, India, Potatoes      , 1990,      157136,                        1083.0,          75000.0 ,    25.79,         15713.6
     10549, India, Potatoes      , 1990,      157136,                        1083.0,          75000.0 ,    24.1 ,         15713.6
     10550, India, Potatoes      , 1990,      157136,                        1083.0,          75000.0 ,    25.25,         15713.6
     10551, India, Potatoes      , 1990,      157136,                        1083.0,          75000.0 ,    25.44,         15713.6
     10552, India, Potatoes      , 1990,      157136,                        1083.0,          75000.0 ,    25.54,         15713.6
     10553, India, Potatoes      , 1990,      157136,                        1083.0,          75000.0 ,    26.36,         15713.6
     10554, India, Potatoes      , 1990,      157136,                        1083.0,          75000.0 ,    26.91,         15713.6
     10555, India, Potatoes      , 1990,      157136,                        1083.0,          75000.0 ,    25.16,         15713.6
     10556, India, Potatoes      , 1990,      157136,                        1083.0,          75000.0 ,    25.77,         15713.6
     10557, India, Potatoes      , 1990,      157136,                        1083.0,          75000.0 ,    25.12,         15713.6
     10558, India, Potatoes      , 1990,      157136,                        1083.0,          75000.0 ,    24.1 ,         15713.6
     10559, India, Potatoes      , 1990,      157136,                        1083.0,          75000.0 ,    25.68,         15713.6
     10560, India, Potatoes      , 1990,      157136,                        1083.0,          75000.0 ,    25.54,         15713.6
     10561, India, Potatoes      , 1990,      157136,                        1083.0,          75000.0 ,    25.44,         15713.6
     10562, India, Potatoes      , 1990,      157136,                        1083.0,          75000.0 ,    24.78,         15713.6
     10563, India, Potatoes      , 1990,      157136,                        1083.0,          75000.0 ,    26.59,         15713.6
     10564, India, Potatoes      , 1990,      157136,                        1083.0,          75000.0 ,    24.37,         15713.6
     10565, India, Potatoes      , 1990,      157136,                        1083.0,          75000.0 ,    26.63,         15713.6
     10566, India, Potatoes      , 1990,      157136,                        1083.0,          75000.0 ,    26.63,         15713.6
     10567, India, Potatoes      , 1990,      157136,                        1083.0,          75000.0 ,    25.64,         15713.6
     10568, India, "Rice, paddy" , 1990,       26125,                        1083.0,          75000.0 ,    25.58,          2612.5
     10569, India, "Rice, paddy" , 1990,       26125,                        1083.0,          75000.0 ,    26.88,          2612.5
     10570, India, "Rice, paddy" , 1990,       26125,                        1083.0,          75000.0 ,    25.79,          2612.5
     10571, India, "Rice, paddy" , 1990,       26125,                        1083.0,          75000.0 ,    24.1 ,          2612.5
     10572, India, "Rice, paddy" , 1990,       26125,                        1083.0,          75000.0 ,    25.25,          2612.5
     10573, India, "Rice, paddy" , 1990,       26125,                        1083.0,          75000.0 ,    25.44,          2612.5
     10574, India, "Rice, paddy" , 1990,       26125,                        1083.0,          75000.0 ,    25.54,          2612.5
     10575, India, "Rice, paddy" , 1990,       26125,                        1083.0,          75000.0 ,    26.36,          2612.5
     10576, India, "Rice, paddy" , 1990,       26125,                        1083.0,          75000.0 ,    26.91,          2612.5
     10577, India, "Rice, paddy" , 1990,       26125,                        1083.0,          75000.0 ,    25.16,          2612.5
     10578, India, "Rice, paddy" , 1990,       26125,                        1083.0,          75000.0 ,    25.77,          2612.5
     10579, India, "Rice, paddy" , 1990,       26125,                        1083.0,          75000.0 ,    25.12,          2612.5
     10580, India, "Rice, paddy" , 1990,       26125,                        1083.0,          75000.0 ,    24.1 ,          2612.5
     10581, India, "Rice, paddy" , 1990,       26125,                        1083.0,          75000.0 ,    25.68,          2612.5
     10582, India, "Rice, paddy" , 1990,       26125,                        1083.0,          75000.0 ,    25.54,          2612.5
     10583, India, "Rice, paddy" , 1990,       26125,                        1083.0,          75000.0 ,    25.44,          2612.5
     10584, India, "Rice, paddy" , 1990,       26125,                        1083.0,          75000.0 ,    24.78,          2612.5
     10585, India, "Rice, paddy" , 1990,       26125,                        1083.0,          75000.0 ,    26.59,          2612.5
     10586, India, "Rice, paddy" , 1990,       26125,                        1083.0,          75000.0 ,    24.37,          2612.5
     10587, India, "Rice, paddy" , 1990,       26125,                        1083.0,          75000.0 ,    26.63,          2612.5
     10588, India, "Rice, paddy" , 1990,       26125,                        1083.0,          75000.0 ,    26.63,          2612.5
     10589, India, "Rice, paddy" , 1990,       26125,                        1083.0,          75000.0 ,    25.64,          2612.5
     10590, India, Sorghum       , 1990,        8136,                        1083.0,          75000.0 ,    25.58,           813.6
     10591, India, Sorghum       , 1990,        8136,                        1083.0,          75000.0 ,    26.88,           813.6
     10592, India, Sorghum       , 1990,        8136,                        1083.0,          75000.0 ,    25.79,           813.6
     10593, India, Sorghum       , 1990,        8136,                        1083.0,          75000.0 ,    24.1 ,           813.6
     10594, India, Sorghum       , 1990,        8136,                        1083.0,          75000.0 ,    25.25,           813.6
     10595, India, Sorghum       , 1990,        8136,                        1083.0,          75000.0 ,    25.44,           813.6
     10596, India, Sorghum       , 1990,        8136,                        1083.0,          75000.0 ,    25.54,           813.6
     10597, India, Sorghum       , 1990,        8136,                        1083.0,          75000.0 ,    26.36,           813.6
     10598, India, Sorghum       , 1990,        8136,                        1083.0,          75000.0 ,    26.91,           813.6
     10599, India, Sorghum       , 1990,        8136,                        1083.0,          75000.0 ,    25.16,           813.6
     10600, India, Sorghum       , 1990,        8136,                        1083.0,          75000.0 ,    25.77,           813.6
     10601, India, Sorghum       , 1990,        8136,                        1083.0,          75000.0 ,    25.12,           813.6
     10602, India, Sorghum       , 1990,        8136,                        1083.0,          75000.0 ,    24.1 ,           813.6
     10603, India, Sorghum       , 1990,        8136,                        1083.0,          75000.0 ,    25.68,           813.6
     10604, India, Sorghum       , 1990,        8136,                        1083.0,          75000.0 ,    25.54,           813.6
     10605, India, Sorghum       , 1990,        8136,                        1083.0,          75000.0 ,    25.44,           813.6
     10606, India, Sorghum       , 1990,        8136,                        1083.0,          75000.0 ,    24.78,           813.6
     10607, India, Sorghum       , 1990,        8136,                        1083.0,          75000.0 ,    26.59,           813.6
     10608, India, Sorghum       , 1990,        8136,                        1083.0,          75000.0 ,    24.37,           813.6
     10609, India, Sorghum       , 1990,        8136,                        1083.0,          75000.0 ,    26.63,           813.6
     10610, India, Sorghum       , 1990,        8136,                        1083.0,          75000.0 ,    26.63,           813.6
     10611, India, Sorghum       , 1990,        8136,                        1083.0,          75000.0 ,    25.64,           813.6
     10612, India, Soybeans      , 1990,       10145,                        1083.0,          75000.0 ,    25.58,          1014.5
     10613, India, Soybeans      , 1990,       10145,                        1083.0,          75000.0 ,    26.88,          1014.5
     10614, India, Soybeans      , 1990,       10145,                        1083.0,          75000.0 ,    25.79,          1014.5
     10615, India, Soybeans      , 1990,       10145,                        1083.0,          75000.0 ,    24.1 ,          1014.5
     10616, India, Soybeans      , 1990,       10145,                        1083.0,          75000.0 ,    25.25,          1014.5
     10617, India, Soybeans      , 1990,       10145,                        1083.0,          75000.0 ,    25.44,          1014.5
     10618, India, Soybeans      , 1990,       10145,                        1083.0,          75000.0 ,    25.54,          1014.5
     10619, India, Soybeans      , 1990,       10145,                        1083.0,          75000.0 ,    26.36,          1014.5
     10620, India, Soybeans      , 1990,       10145,                        1083.0,          75000.0 ,    26.91,          1014.5
     10621, India, Soybeans      , 1990,       10145,                        1083.0,          75000.0 ,    25.16,          1014.5
     10622, India, Soybeans      , 1990,       10145,                        1083.0,          75000.0 ,    25.77,          1014.5
     10623, India, Soybeans      , 1990,       10145,                        1083.0,          75000.0 ,    25.12,          1014.5
     10624, India, Soybeans      , 1990,       10145,                        1083.0,          75000.0 ,    24.1 ,          1014.5
     10625, India, Soybeans      , 1990,       10145,                        1083.0,          75000.0 ,    25.68,          1014.5
     10626, India, Soybeans      , 1990,       10145,                        1083.0,          75000.0 ,    25.54,          1014.5
     10627, India, Soybeans      , 1990,       10145,                        1083.0,          75000.0 ,    25.44,          1014.5
     10628, India, Soybeans      , 1990,       10145,                        1083.0,          75000.0 ,    24.78,          1014.5
     10629, India, Soybeans      , 1990,       10145,                        1083.0,          75000.0 ,    26.59,          1014.5
     10630, India, Soybeans      , 1990,       10145,                        1083.0,          75000.0 ,    24.37,          1014.5
     10631, India, Soybeans      , 1990,       10145,                        1083.0,          75000.0 ,    26.63,          1014.5
     10632, India, Soybeans      , 1990,       10145,                        1083.0,          75000.0 ,    26.63,          1014.5
     10633, India, Soybeans      , 1990,       10145,                        1083.0,          75000.0 ,    25.64,          1014.5
     10634, India, Sweet potatoes, 1990,       79663,                        1083.0,          75000.0 ,    25.58,          7966.3
     10635, India, Sweet potatoes, 1990,       79663,                        1083.0,          75000.0 ,    26.88,          7966.3
     10636, India, Sweet potatoes, 1990,       79663,                        1083.0,          75000.0 ,    25.79,          7966.3
     10637, India, Sweet potatoes, 1990,       79663,                        1083.0,          75000.0 ,    24.1 ,          7966.3
     10638, India, Sweet potatoes, 1990,       79663,                        1083.0,          75000.0 ,    25.25,          7966.3
     10639, India, Sweet potatoes, 1990,       79663,                        1083.0,          75000.0 ,    25.44,          7966.3
     10640, India, Sweet potatoes, 1990,       79663,                        1083.0,          75000.0 ,    25.54,          7966.3
     10641, India, Sweet potatoes, 1990,       79663,                        1083.0,          75000.0 ,    26.36,          7966.3
     10642, India, Sweet potatoes, 1990,       79663,                        1083.0,          75000.0 ,    26.91,          7966.3
     10643, India, Sweet potatoes, 1990,       79663,                        1083.0,          75000.0 ,    25.16,          7966.3
     10644, India, Sweet potatoes, 1990,       79663,                        1083.0,          75000.0 ,    25.77,          7966.3
     10645, India, Sweet potatoes, 1990,       79663,                        1083.0,          75000.0 ,    25.12,          7966.3
     10646, India, Sweet potatoes, 1990,       79663,                        1083.0,          75000.0 ,    24.1 ,          7966.3
     10647, India, Sweet potatoes, 1990,       79663,                        1083.0,          75000.0 ,    25.68,          7966.3
     10648, India, Sweet potatoes, 1990,       79663,                        1083.0,          75000.0 ,    25.54,          7966.3
     10649, India, Sweet potatoes, 1990,       79663,                        1083.0,          75000.0 ,    25.44,          7966.3
     10650, India, Sweet potatoes, 1990,       79663,                        1083.0,          75000.0 ,    24.78,          7966.3
     10651, India, Sweet potatoes, 1990,       79663,                        1083.0,          75000.0 ,    26.59,          7966.3
     10652, India, Sweet potatoes, 1990,       79663,                        1083.0,          75000.0 ,    24.37,          7966.3
     10653, India, Sweet potatoes, 1990,       79663,                        1083.0,          75000.0 ,    26.63,          7966.3
     10654, India, Sweet potatoes, 1990,       79663,                        1083.0,          75000.0 ,    26.63,          7966.3
     10655, India, Sweet potatoes, 1990,       79663,                        1083.0,          75000.0 ,    25.64,          7966.3
     10656, India, Wheat         , 1990,       21211,                        1083.0,          75000.0 ,    25.58,          2121.1
     10657, India, Wheat         , 1990,       21211,                        1083.0,          75000.0 ,    26.88,          2121.1
     10658, India, Wheat         , 1990,       21211,                        1083.0,          75000.0 ,    25.79,          2121.1
     10659, India, Wheat         , 1990,       21211,                        1083.0,          75000.0 ,    24.1 ,          2121.1
     10660, India, Wheat         , 1990,       21211,                        1083.0,          75000.0 ,    25.25,          2121.1
     10661, India, Wheat         , 1990,       21211,                        1083.0,          75000.0 ,    25.44,          2121.1
     10662, India, Wheat         , 1990,       21211,                        1083.0,          75000.0 ,    25.54,          2121.1
     10663, India, Wheat         , 1990,       21211,                        1083.0,          75000.0 ,    26.36,          2121.1
     10664, India, Wheat         , 1990,       21211,                        1083.0,          75000.0 ,    26.91,          2121.1
     10665, India, Wheat         , 1990,       21211,                        1083.0,          75000.0 ,    25.16,          2121.1
     10666, India, Wheat         , 1990,       21211,                        1083.0,          75000.0 ,    25.77,          2121.1
     10667, India, Wheat         , 1990,       21211,                        1083.0,          75000.0 ,    25.12,          2121.1
     10668, India, Wheat         , 1990,       21211,                        1083.0,          75000.0 ,    24.1 ,          2121.1
     10669, India, Wheat         , 1990,       21211,                        1083.0,          75000.0 ,    25.68,          2121.1
     10670, India, Wheat         , 1990,       21211,                        1083.0,          75000.0 ,    25.54,          2121.1
     10671, India, Wheat         , 1990,       21211,                        1083.0,          75000.0 ,    25.44,          2121.1
     10672, India, Wheat         , 1990,       21211,                        1083.0,          75000.0 ,    24.78,          2121.1
     10673, India, Wheat         , 1990,       21211,                        1083.0,          75000.0 ,    26.59,          2121.1
     10674, India, Wheat         , 1990,       21211,                        1083.0,          75000.0 ,    24.37,          2121.1
     10675, India, Wheat         , 1990,       21211,                        1083.0,          75000.0 ,    26.63,          2121.1
     10676, India, Wheat         , 1990,       21211,                        1083.0,          75000.0 ,    26.63,          2121.1
     10677, India, Wheat         , 1990,       21211,                        1083.0,          75000.0 ,    25.64,          2121.1
     10678, India, Cassava       , 1991,      218925,                        1083.0,          72133.0 ,    25.85,         21892.5
     10679, India, Cassava       , 1991,      218925,                        1083.0,          72133.0 ,    26.9 ,         21892.5
     10680, India, Cassava       , 1991,      218925,                        1083.0,          72133.0 ,    25.96,         21892.5
     10681, India, Cassava       , 1991,      218925,                        1083.0,          72133.0 ,    23.77,         21892.5
     10682, India, Cassava       , 1991,      218925,                        1083.0,          72133.0 ,    25.49,         21892.5
     10683, India, Cassava       , 1991,      218925,                        1083.0,          72133.0 ,    25.82,         21892.5
     10684, India, Cassava       , 1991,      218925,                        1083.0,          72133.0 ,    25.74,         21892.5
     10685, India, Cassava       , 1991,      218925,                        1083.0,          72133.0 ,    26.54,         21892.5
     10686, India, Cassava       , 1991,      218925,                        1083.0,          72133.0 ,    27.35,         21892.5
     10687, India, Cassava       , 1991,      218925,                        1083.0,          72133.0 ,    25.4 ,         21892.5
     10688, India, Cassava       , 1991,      218925,                        1083.0,          72133.0 ,    25.99,         21892.5
     10689, India, Cassava       , 1991,      218925,                        1083.0,          72133.0 ,    25.32,         21892.5
     10690, India, Cassava       , 1991,      218925,                        1083.0,          72133.0 ,    23.77,         21892.5
     10691, India, Cassava       , 1991,      218925,                        1083.0,          72133.0 ,    26.2 ,         21892.5
     10692, India, Cassava       , 1991,      218925,                        1083.0,          72133.0 ,    25.74,         21892.5
     10693, India, Cassava       , 1991,      218925,                        1083.0,          72133.0 ,    25.55,         21892.5
     10694, India, Cassava       , 1991,      218925,                        1083.0,          72133.0 ,    25.06,         21892.5
     10695, India, Cassava       , 1991,      218925,                        1083.0,          72133.0 ,    26.34,         21892.5
     10696, India, Cassava       , 1991,      218925,                        1083.0,          72133.0 ,    24.62,         21892.5
     10697, India, Cassava       , 1991,      218925,                        1083.0,          72133.0 ,    26.7 ,         21892.5
     10698, India, Cassava       , 1991,      218925,                        1083.0,          72133.0 ,    26.7 ,         21892.5
     10699, India, Cassava       , 1991,      218925,                        1083.0,          72133.0 ,    25.74,         21892.5
     10700, India, Maize         , 1991,       13763,                        1083.0,          72133.0 ,    25.85,          1376.3
     10701, India, Maize         , 1991,       13763,                        1083.0,          72133.0 ,    26.9 ,          1376.3
     10702, India, Maize         , 1991,       13763,                        1083.0,          72133.0 ,    25.96,          1376.3
     10703, India, Maize         , 1991,       13763,                        1083.0,          72133.0 ,    23.77,          1376.3
     10704, India, Maize         , 1991,       13763,                        1083.0,          72133.0 ,    25.49,          1376.3
     10705, India, Maize         , 1991,       13763,                        1083.0,          72133.0 ,    25.82,          1376.3
     10706, India, Maize         , 1991,       13763,                        1083.0,          72133.0 ,    25.74,          1376.3
     10707, India, Maize         , 1991,       13763,                        1083.0,          72133.0 ,    26.54,          1376.3
     10708, India, Maize         , 1991,       13763,                        1083.0,          72133.0 ,    27.35,          1376.3
     10709, India, Maize         , 1991,       13763,                        1083.0,          72133.0 ,    25.4 ,          1376.3
     10710, India, Maize         , 1991,       13763,                        1083.0,          72133.0 ,    25.99,          1376.3
     10711, India, Maize         , 1991,       13763,                        1083.0,          72133.0 ,    25.32,          1376.3
     10712, India, Maize         , 1991,       13763,                        1083.0,          72133.0 ,    23.77,          1376.3
     10713, India, Maize         , 1991,       13763,                        1083.0,          72133.0 ,    26.2 ,          1376.3
     10714, India, Maize         , 1991,       13763,                        1083.0,          72133.0 ,    25.74,          1376.3
     10715, India, Maize         , 1991,       13763,                        1083.0,          72133.0 ,    25.55,          1376.3
     10716, India, Maize         , 1991,       13763,                        1083.0,          72133.0 ,    25.06,          1376.3
     10717, India, Maize         , 1991,       13763,                        1083.0,          72133.0 ,    26.34,          1376.3
     10718, India, Maize         , 1991,       13763,                        1083.0,          72133.0 ,    24.62,          1376.3
     10719, India, Maize         , 1991,       13763,                        1083.0,          72133.0 ,    26.7 ,          1376.3
     10720, India, Maize         , 1991,       13763,                        1083.0,          72133.0 ,    26.7 ,          1376.3
     10721, India, Maize         , 1991,       13763,                        1083.0,          72133.0 ,    25.74,          1376.3
     10722, India, Potatoes      , 1991,      162540,                        1083.0,          72133.0 ,    25.85,         16254.0
     10723, India, Potatoes      , 1991,      162540,                        1083.0,          72133.0 ,    26.9 ,         16254.0
     10724, India, Potatoes      , 1991,      162540,                        1083.0,          72133.0 ,    25.96,         16254.0
     10725, India, Potatoes      , 1991,      162540,                        1083.0,          72133.0 ,    23.77,         16254.0
     10726, India, Potatoes      , 1991,      162540,                        1083.0,          72133.0 ,    25.49,         16254.0
     10727, India, Potatoes      , 1991,      162540,                        1083.0,          72133.0 ,    25.82,         16254.0
     10728, India, Potatoes      , 1991,      162540,                        1083.0,          72133.0 ,    25.74,         16254.0
     10729, India, Potatoes      , 1991,      162540,                        1083.0,          72133.0 ,    26.54,         16254.0
     10730, India, Potatoes      , 1991,      162540,                        1083.0,          72133.0 ,    27.35,         16254.0
     10731, India, Potatoes      , 1991,      162540,                        1083.0,          72133.0 ,    25.4 ,         16254.0
     10732, India, Potatoes      , 1991,      162540,                        1083.0,          72133.0 ,    25.99,         16254.0
     10733, India, Potatoes      , 1991,      162540,                        1083.0,          72133.0 ,    25.32,         16254.0
     10734, India, Potatoes      , 1991,      162540,                        1083.0,          72133.0 ,    23.77,         16254.0
     10735, India, Potatoes      , 1991,      162540,                        1083.0,          72133.0 ,    26.2 ,         16254.0
     10736, India, Potatoes      , 1991,      162540,                        1083.0,          72133.0 ,    25.74,         16254.0
     10737, India, Potatoes      , 1991,      162540,                        1083.0,          72133.0 ,    25.55,         16254.0
     10738, India, Potatoes      , 1991,      162540,                        1083.0,          72133.0 ,    25.06,         16254.0
     10739, India, Potatoes      , 1991,      162540,                        1083.0,          72133.0 ,    26.34,         16254.0
     10740, India, Potatoes      , 1991,      162540,                        1083.0,          72133.0 ,    24.62,         16254.0
     10741, India, Potatoes      , 1991,      162540,                        1083.0,          72133.0 ,    26.7 ,         16254.0
     10742, India, Potatoes      , 1991,      162540,                        1083.0,          72133.0 ,    26.7 ,         16254.0
     10743, India, Potatoes      , 1991,      162540,                        1083.0,          72133.0 ,    25.74,         16254.0
     10744, India, "Rice, paddy" , 1991,       26271,                        1083.0,          72133.0 ,    25.85,          2627.1
     10745, India, "Rice, paddy" , 1991,       26271,                        1083.0,          72133.0 ,    26.9 ,          2627.1
     10746, India, "Rice, paddy" , 1991,       26271,                        1083.0,          72133.0 ,    25.96,          2627.1
     10747, India, "Rice, paddy" , 1991,       26271,                        1083.0,          72133.0 ,    23.77,          2627.1
     10748, India, "Rice, paddy" , 1991,       26271,                        1083.0,          72133.0 ,    25.49,          2627.1
     10749, India, "Rice, paddy" , 1991,       26271,                        1083.0,          72133.0 ,    25.82,          2627.1
     10750, India, "Rice, paddy" , 1991,       26271,                        1083.0,          72133.0 ,    25.74,          2627.1
     10751, India, "Rice, paddy" , 1991,       26271,                        1083.0,          72133.0 ,    26.54,          2627.1
     10752, India, "Rice, paddy" , 1991,       26271,                        1083.0,          72133.0 ,    27.35,          2627.1
     10753, India, "Rice, paddy" , 1991,       26271,                        1083.0,          72133.0 ,    25.4 ,          2627.1
     10754, India, "Rice, paddy" , 1991,       26271,                        1083.0,          72133.0 ,    25.99,          2627.1
     10755, India, "Rice, paddy" , 1991,       26271,                        1083.0,          72133.0 ,    25.32,          2627.1
     10756, India, "Rice, paddy" , 1991,       26271,                        1083.0,          72133.0 ,    23.77,          2627.1
     10757, India, "Rice, paddy" , 1991,       26271,                        1083.0,          72133.0 ,    26.2 ,          2627.1
     10758, India, "Rice, paddy" , 1991,       26271,                        1083.0,          72133.0 ,    25.74,          2627.1
     10759, India, "Rice, paddy" , 1991,       26271,                        1083.0,          72133.0 ,    25.55,          2627.1
     10760, India, "Rice, paddy" , 1991,       26271,                        1083.0,          72133.0 ,    25.06,          2627.1
     10761, India, "Rice, paddy" , 1991,       26271,                        1083.0,          72133.0 ,    26.34,          2627.1
     10762, India, "Rice, paddy" , 1991,       26271,                        1083.0,          72133.0 ,    24.62,          2627.1
     10763, India, "Rice, paddy" , 1991,       26271,                        1083.0,          72133.0 ,    26.7 ,          2627.1
     10764, India, "Rice, paddy" , 1991,       26271,                        1083.0,          72133.0 ,    26.7 ,          2627.1
     10765, India, "Rice, paddy" , 1991,       26271,                        1083.0,          72133.0 ,    25.74,          2627.1
     10766, India, Sorghum       , 1991,        6553,                        1083.0,          72133.0 ,    25.85,           655.3
     10767, India, Sorghum       , 1991,        6553,                        1083.0,          72133.0 ,    26.9 ,           655.3
     10768, India, Sorghum       , 1991,        6553,                        1083.0,          72133.0 ,    25.96,           655.3
     10769, India, Sorghum       , 1991,        6553,                        1083.0,          72133.0 ,    23.77,           655.3
     10770, India, Sorghum       , 1991,        6553,                        1083.0,          72133.0 ,    25.49,           655.3
     10771, India, Sorghum       , 1991,        6553,                        1083.0,          72133.0 ,    25.82,           655.3
     10772, India, Sorghum       , 1991,        6553,                        1083.0,          72133.0 ,    25.74,           655.3
     10773, India, Sorghum       , 1991,        6553,                        1083.0,          72133.0 ,    26.54,           655.3
     10774, India, Sorghum       , 1991,        6553,                        1083.0,          72133.0 ,    27.35,           655.3
     10775, India, Sorghum       , 1991,        6553,                        1083.0,          72133.0 ,    25.4 ,           655.3
     10776, India, Sorghum       , 1991,        6553,                        1083.0,          72133.0 ,    25.99,           655.3
     10777, India, Sorghum       , 1991,        6553,                        1083.0,          72133.0 ,    25.32,           655.3
     10778, India, Sorghum       , 1991,        6553,                        1083.0,          72133.0 ,    23.77,           655.3
     10779, India, Sorghum       , 1991,        6553,                        1083.0,          72133.0 ,    26.2 ,           655.3
     10780, India, Sorghum       , 1991,        6553,                        1083.0,          72133.0 ,    25.74,           655.3
     10781, India, Sorghum       , 1991,        6553,                        1083.0,          72133.0 ,    25.55,           655.3
     10782, India, Sorghum       , 1991,        6553,                        1083.0,          72133.0 ,    25.06,           655.3
     10783, India, Sorghum       , 1991,        6553,                        1083.0,          72133.0 ,    26.34,           655.3
     10784, India, Sorghum       , 1991,        6553,                        1083.0,          72133.0 ,    24.62,           655.3
     10785, India, Sorghum       , 1991,        6553,                        1083.0,          72133.0 ,    26.7 ,           655.3
     10786, India, Sorghum       , 1991,        6553,                        1083.0,          72133.0 ,    26.7 ,           655.3
     10787, India, Sorghum       , 1991,        6553,                        1083.0,          72133.0 ,    25.74,           655.3
     10788, India, Soybeans      , 1991,        7825,                        1083.0,          72133.0 ,    25.85,           782.5
     10789, India, Soybeans      , 1991,        7825,                        1083.0,          72133.0 ,    26.9 ,           782.5
     10790, India, Soybeans      , 1991,        7825,                        1083.0,          72133.0 ,    25.96,           782.5
     10791, India, Soybeans      , 1991,        7825,                        1083.0,          72133.0 ,    23.77,           782.5
     10792, India, Soybeans      , 1991,        7825,                        1083.0,          72133.0 ,    25.49,           782.5
     10793, India, Soybeans      , 1991,        7825,                        1083.0,          72133.0 ,    25.82,           782.5
     10794, India, Soybeans      , 1991,        7825,                        1083.0,          72133.0 ,    25.74,           782.5
